[2025-12-28 10:10:54.892][1][1][<検索フォルダ>C:\tmp\社員データ抽出マクロ.xlsm]
[2025-12-28 10:10:54.894][1][3][<Dir>, <FileName>, <SearchWord>, <LineNum>, <Line>]
[2025-12-28 10:11:02.414][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,13,Dim wb_outputfile As Workbook       '出力ファイルのワークブック変数]
[2025-12-28 10:11:02.414][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,14,Dim ws_outputfile As Worksheet      '出力ファイルの出力シートのワークシート変数]
[2025-12-28 10:11:02.414][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,15,Dim path_outputfile As String       '出力ファイルのフルパスを設定する変数]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,17,'マクロが実行する処理を画面上に出力しないよう、画面更新モードをオフにします。]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,35,'出力ファイルのフルパスを設定する変数：path_outputfile に、パス情報を設定します。]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,57,'出力ファイルにも、入力ファイルと同様の処理を行います。]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,61,Set ws_outputfile = ActiveWorkbook.Worksheets("出力シート")]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,70,'マクロがOpenした入力ファイル、出力ファイルに対して、何もせずに終了すると、]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,71,'画面上に入力ファイル、出力ファイルが表示されたままとなり、お行儀が悪いので、]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,74,'出力ファイルを、変更があった場合には保存して終了します。]
[2025-12-28 10:11:02.415][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,出力,82,'マクロ実行者に、処理が完了した旨のダイアログ画面を出力します。]
[2025-12-28 10:11:02.423][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,6,Dim ws_macro As Worksheet           '社員データ抽出マクロファイル内の社員データ抽出マクロシートのワークシート変数]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,7,Dim ws_work As Worksheet            '社員データ抽出マクロファイル内のworkシートのワークシート変数]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,17,'マクロが実行する処理を画面上に出力しないよう、画面更新モードをオフにします。]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,22,'マクロファイル内のワークシートに対して、ワークシート変数を設定します。]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,24,Set ws_macro = ThisWorkbook.Worksheets("社員データ抽出マクロ")]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,70,'マクロがOpenした入力ファイル、出力ファイルに対して、何もせずに終了すると、]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,72,'マクロファイル以外のファイルは、基本的に全てCloseします。]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,82,'マクロ実行者に、処理が完了した旨のダイアログ画面を出力します。]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,86,'社員データ抽出マクロシートを最前面に表示します。]
[2025-12-28 10:11:02.424][1][3][,C:\tmp\src_社員データ抽出マクロ.xlsm,Module1.bas,マクロ,90,'社員データ抽出マクロファイルを保存します。]
